numero_dpe;nom_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;secteur_activite;annee_construction;surface_habitable;tv016_departement_id;commune;nom_rue;numero_rue;batiment;escalier;etage;porte;code_postal;numero_lot;etat_avancement;organisme_certificateur;adresse_organisme_certificateur;longitude;latitude;geo_adresse;tr013_type_erp_type;tv017_zone_hiver_code
1475V8000448@;Méthode Facture;26/05/2014;517;G;16;C;Autres (théâtres, salles de sport, restaurati;1947;59.40;75;PARIS;17 RUE FALGUIERE;;;;;;75015;Sans objet;1;C0254 DELIVREE LE 19/10/2012 QUALIXPERT 17 RUE BOREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.316939;48.843331;17 Rue Falguière 75015 Paris;;H1
1475V3000232L;FACTURE SEULE;19/05/2014;615.09;F;53.2;D;\N;1969;219.00;75;PARIS 16;EXELMANS;40,;\N;\N;\N;\N;75016;\N;1;Dekra Certification;Dekra 5 Avenue Garlande 92220 Bagneux;2.263668;48.841695;40 Boulevard Exelmans 75016 Paris;;H1
1493V7000043P;FACTURE - DPE;23/05/2014;642.33;G;21.72;C;Restaurant Inter-Entreprise;1974;\N;93;ROSNY-SOUS-BOIS;Charles de Gaulle;118;;;;;93110;;1;Abcidia Certification;4 route de la noue 91190 Gif sur Yvette;2.477913;48.880116;118 Avenue du Général de Gaulle 93110 Rosny-sous-Bois;;H1
1492V3000062L;3CL - DPE;26/05/2014;616;F;20;C;Commerce;1974;0.00;92;ISSY LES MOULINEAUX;Maurice Berteaux;16;\N;\N;Rez de chaussee;\N;92130;\N;1;DEKRA CERTIFICATION;5 AVENUE GARLANDE 92220 BAGNEUX;2.267079;48.828832;16 Rue Maurice Berteaux 92130 Issy-les-Moulineaux;N : Restaurants et débits de boisson;H1
1475V8000451T;FACTURE;26/05/2014;490.54;F;15.97;C;\N;1947;180.40;75;PARIS;53 boulevard Beaumarchais;\N;\N;\N;\N;\N;75003;;1;Afnor;11 rue Francis de Pressensé 93571;2.367908;48.857158;53 Boulevard Beaumarchais 75003 Paris;M : Magasins de vente, centres commerciaux;H1
1475V8000452U;FACTURE;26/05/2014;850.69;G;199.06;G;\N;1947;50.60;75;PARIS;9/11 rue Crespin du Gast;\N;\N;\N;\N;\N;75011;148 et une partie de 149;1;Afnor;11 rue Francis de Pressensé 93571;2.381937;48.865854;11 Rue Crespin du Gast 75011 Paris;M : Magasins de vente, centres commerciaux;H1
1492V4000293S;FACTURE - DPE;13/05/2014;655.06;F;21.33;C;bureaux;2000;\N;92;COURBEVOIE;65 AVENUE MARCEAU;;;;;;92400;;1;GINGER CATED;12 AVENUE GAY LUSSAC  78990  ELANCOURT;2.244048;48.90074;65 Avenue Marceau 92400 Courbevoie;;H1
1493V8000098A;Méthode Facture;26/05/2014;505;F;16;C;Autres (théâtres, salles de sport, restaurati;1947;894.30;93;BONDY;141 AVENUE GALLIENI;;;;;;93140;Sans objet;1;C115 DELIVREE LE 01/10/2012 PAR  QUALIXPERT 17 RUE BORREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.482851;48.906411;141 Avenue Galliéni 93140 Bondy;;H1
1475C2000033I;Méthode Facture;26/05/2014;953;G;31;D;Centres Commerciaux;1947;172.06;75;PARIS 15;10, rue Edmon Guillout;;;Rez-de-chaussée;;;75015;1;1;GINGER CATED;12 avenue Gay Lussac ZAC LA CLEF ST PIERRE 78990 ELANCOURT (détail sur www.cofrac.fr programme n°4-4-11);2.313592;48.842405;10 Rue Edmond Guillout 75015 Paris;;H1
1477V8000132R;Méthode Facture;27/05/2014;865;G;28;D;Autres (théâtres, salles de sport, restaurati;1;506.00;77;BRIE COMTE ROBERT;RUE GUSTAVE EIFFEL ZONE DE LA HAIE PASSART;;;;;;77170;3;1;C0254 DELIVREE LE 19/10/2012 QUALIXPERT 17 RUE BOREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.601056;48.702563;Rue Gustave Eiffel 77170 Brie-Comte-Robert;;H1
1478V8000113R;3CL - DPE;26/05/2014;626.57;G;20.4;C;Commerce;1947;0.00;78;MEULAN;du Maréchal Foch;13;;;RDC;;78250;1;1;ABCIDIA CERTIFICATION;4 route de la Noue 91190 GIF SUR YVETTE;1.909348;49.004951;13 Rue du Marechal Foch 78250 Meulan-en-Yvelines;;H1
1475V8000454W;Méthode Facture;27/05/2014;464;F;15;C;Autres (théâtres, salles de sport, restaurati;1947;92.40;75;PARIS;34 AVENUE MONTAIGNE;;;;;;75008;Sans objet;1;10-42 DELIVRE PAR ABCIDIA;4 route de la Noue 91190 GIF SUR YVETTE (détail sur www.cofrac.fr programme n°4-4-11);2.306756;48.867007;34 Avenue Montaigne 75008 Paris;;H1
1475V8000459B;FACTURE;27/05/2014;475.05;F;111.16;G;\N;1947;94.82;75;PARIS;9/11 rue Crespin du Gast;\N;\N;\N;\N;\N;75011;148 et une partie de 149;1;Afnor;11 rue Francis de Pressensé 93571;2.381937;48.865854;11 Rue Crespin du Gast 75011 Paris;M : Magasins de vente, centres commerciaux;H1
1478V8000115T;3CL - DPE;21/05/2014;756.04;G;42.19;D;Commerce;1900;0.00;78;SAINT-RÉMY-LÈS-CHEVREUSE;Chesneau;5;\N;\N;Rez de chaussée;\N;78470;1;1;I-CERT;;;;;;H1
1494V8000074V;3CL - DPE;21/05/2014;595.67;G;70.65;E;Commerce;1920;0.00;94;LE PERREUX-SUR-MARNE;Georges Clémenceau;93;;Sans objet;RDC;Sur rue;94170;NC;1;ABCIDIA Certification;4, route de la Noue 91190 GIF SUR YVETTE;2.504085;48.841963;93 Avenue Georges Clémenceau 94170 Le Perreux-sur-Marne;M : Magasins de vente, centres commerciaux;H1
1495V7000043R;Méthode Facture;27/05/2014;3311;G;107;G;Autres (théâtres, salles de sport, restaurati;1947;11.00;95;MERY SUR OISE;11 BIS AVENUE MARCEL PERRIN;;;;;;95540;Sans objet;1;C0121 QUALIXPERT - 17 RUE BORREL - 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.186002;49.063897;11bis Avenue Marcel Perrin 95540 Méry-sur-Oise;;H1
1478V7000082V;FACTURE SEULE;27/05/2014;1312.73;G;42.74;D;\N;1948;42.00;78;MEULAN;Albert Joly;4 quater;\N;\N;\N;\N;78250;\N;1;GINGER CATED;12, avenue gay lussac - zac la clef st pierre, 78990 elancourt;1.90956;49.004511;4 Quai Albert Joly 78250 Meulan-en-Yvelines;;H1
1475V8000463W;FACTURE;27/05/2014;564.06;G;18.36;C;\N;1947;2493.70;75;PARIS;18 rue du Général Delestraint;\N;\N;\N;\N;\N;75016;;1;Afnor;11 rue Francis de Pressensé 93571;2.25846;48.84256;18 Rue du Général Delestraint 75016 Paris;M : Magasins de vente, centres commerciaux;H1
1494V8000075W;3CL - DPE;27/05/2014;618.72;G;20.14;C;Commerce;1899;0.00;94;CACHAN;Guichard;18;;;RDC;;94230;;1;CATED GINGER;ZAC La clé saint Pierre 12, avenue Gay Lussac 78990 ELANCOURT;2.336233;48.794357;18 Rue Guichard 94230 Cachan;M : Magasins de vente, centres commerciaux;H1
1494V8000076X;3CL - DPE;27/05/2014;434.6;F;84.6;F;Commerce;1970;0.00;94;L'HAŸ-LES-ROSES;du Général Leclerc;62;;;R+1;;94240;1 et 2;1;BUREAU VERITAS Certification;60 Avenue du Général de Gaulle 92040 NANTERRE CEDEX;2.334074;48.773655;62 Avenue du Général Leclerc 94240 L'Haÿ-les-Roses;;H1
1475V7000219U;facture;27/05/2014;443.1;F;14.43;C;\N;1900;29.00;75;PARIS 16;Léon Deubel;2,;\N;\N;\N;\N;75016;;1;BUREAU VERITAS CERTIFICATION;BUREAU VERITAS CERTIFICATION;2.259604;48.837684;2 Place Léon Deubel 75016 Paris;;H1
1475V8000468B;Méthode Facture;28/05/2014;447;F;14;C;Autres (théâtres, salles de sport, restaurati;1947;383.78;75;PARIS;30, Rue Beaubourg;;;RDC;;;75003;773 / 2 / 3 / 9 / 78;1;Bureau Veritas Certification;Immeuble Le Guillaumet - 60 Avenue du Général de Gaulle - 92800 PUTEAUX (détail sur www.cofrac.fr programme n°4-4-11);2.354076;48.862034;30 Rue Beaubourg 75003 Paris;;H1
1375V7000263S;FACTURE SEULE;25/06/2013;2237.4;G;72.85;F;\N;1969;18.45;75;PARIS;Pierre Guerin;13;\N;\N;\N;\N;75016;\N;1;I.Cert;116 Bis Rue Eugène Pottier, 35500 Rennes;2.266447;48.848616;13 Rue Pierre Guérin 75016 Paris;;H1
1475V8000469C;FACTURE;28/05/2014;462.75;F;15.06;C;\N;1947;24.20;75;PARIS;13 rue Malar;\N;\N;\N;\N;\N;75007;;1;BUREAU VERITAS;n/c;2.305631;48.861007;13 Rue Malar 75007 Paris;;H1
1475V8000470U;FACTURE;28/05/2014;1052.43;G;34.26;D;\N;1970;339.90;75;PARIS;33/35 rue du Commandant Mouchotte;\N;\N;\N;\N;\N;75014;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.319341;48.837702;35 Rue du Commandant René Mouchotte 75014 Paris;M : Magasins de vente, centres commerciaux;H1
1478V7000083W;FACTURE SEULE;28/05/2014;524.98;G;17.09;C;\N;1973;2259.00;78;RUNGIS;Fleur De Safran, 80, rue d'Arcueil;;\N;\N;\N;\N;94150;\N;1;AFNOR CERTIFICATION;11, rue Francis de Pressensé, 93571 La Plaine Saint-Denis Cedex;2.354925;48.747286;80 Rue d'Arcueil 94150 Rungis;;H1
1478V7000084X;FACTURE SEULE;28/05/2014;769.63;G;51.25;E;\N;2002;1250.00;78;RUNGIS;Le Romarin, Place de l'Equerre;;\N;\N;\N;\N;94150;\N;1;AFNOR CERTIFICATION;11, rue Francis de Pressensé, 93571 La Plaine Saint-Denis Cedex;2.3551;48.74894;Place de l'Equerre 94150 Rungis;;H1
1494C2000021G;Méthode Facture;28/05/2014;742;G;173;G;Centres Commerciaux;1947;99.23;94;VINCENNES;82, rue de Fontenay;;;"Bat. rue; Etage RDC; Porte rue";;;94300;1 &  11;1;Bureau Veritas Certification;Immeuble Le Guillaumet - 60 Avenue du Général de Gaulle - 92800 PUTEAUX (détail sur www.cofrac.fr programme n°4-4-11);2.440094;48.848023;82 Rue de Fontenay 94300 Vincennes;;H1
1495V7000046U;Méthode Facture;30/05/2014;456;F;14;C;Autres (théâtres, salles de sport, restaurati;1947;19.80;95;MAGNY EN VEXIN;20 RUE CARNOT;;;;;;95420;Sans objet;1;C0121 QUALIXPERT - 17 RUE BORREL - 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1475V4000599C;FACTURE;30/05/2014;671.95;F;21.87;C;\N;1993;257.40;75;PARIS;11 RUE DES ISLETTES;\N;\N;\N;\N;\N;75018;;1;ICERT;n/c;2.350685;48.884795;11 Rue des Islettes 75018 Paris;;H1
1478V3000077V;FACTURE SEULE;22/05/2014;664.78;F;21.64;C;\N;1985;69.00;78;MEZIERES SUR SEINE;Rue;3 bis;\N;\N;\N;\N;78970;\N;1;GINGER CATED;12, avenue Gay Lussac - ZAC la clef Saint Pierre, 78990 ELANCOURT;1.790382;48.960349;3 Grande Rue 78970 Mézières-sur-Seine;;H1
1493V8000111M;FACTURE;30/05/2014;1671.31;G;196.84;G;\N;1930;99.00;93;LIVRY-GARGAN;16 bd Chanzy;\N;\N;\N;\N;\N;93190;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.518712;48.909301;16 Boulevard Chanzy 93190 Livry-Gargan;M : Magasins de vente, centres commerciaux;H1
1493V8000112N;FACTURE;30/05/2014;534.24;G;17.39;C;\N;1930;99.00;93;LIVRY-GARGAN;16 bd Chanzy;\N;\N;\N;\N;\N;93190;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.518712;48.909301;16 Boulevard Chanzy 93190 Livry-Gargan;M : Magasins de vente, centres commerciaux;H1
1492V7000056S;FACTURE SEULE;30/05/2014;1394.34;G;95.52;F;\N;1996;170.00;92;MONTROUGE;Theophile Gautier;12,;\N;\N;\N;\N;92120;\N;1;AFNOR CERTIFICATION;11, rue Francis de Pressensé 93210 SAINT DENIS;2.324623;48.818114;12 Rue Theophile Gautier 92120 Montrouge;;H1
1494V7000050O;Méthode Facture;27/05/2014;1148;G;140;G;Autres (théâtres, salles de sport, restaurati;1947;121.00;94;CRÉTEIL;21 rue du Général Leclerc;;;;;;94000;Non communiqué;1;SGS;29 Avenue Aristide Briand 94111 ARCUEIL (détail sur www.cofrac.fr programme n°4-4-11);2.462578;48.793001;21 Rue du Général Leclerc 94000 Créteil;;H1
1491V7000041L;FACTURE SEULE;28/05/2014;445.64;F;14.51;C;\N;1990;50.00;91;MONTGERON;Eschborn;10 ,;\N;\N;\N;\N;91230;\N;1;GINGER CATED  N° 843;12, Av Gay Lussac   78990  ELANCOURT;2.458093;48.704289;10 Rue d'Eschborn 91230 Montgeron;;H1
1478V7000086@;FACTURE SEULE;02/06/2014;1189.71;G;130.36;G;\N;1948;233.00;78;BOUAFLE;de l'Eglise;20;\N;\N;\N;\N;78410;\N;1;GINGER CATED;12, avenue gay lussac - zac la clef st pierre, 78990 elancourt;1.896048;48.966037;20 Rue de l'Eglise 78410 Bouafle;;H1
1475V7000222O;3CL - DPE;02/06/2014;1978.88;G;64.43;E;Commerce;1948;0.00;75;PARIS - 7EME;du Bac;77;\N;\N;\N;\N;75007;02;1;CATED;;2.324378;48.854684;77 Rue du Bac 75007 Paris;M : Magasins de vente, centres commerciaux;H1
1475V8000474Y;FACTURE;02/06/2014;673.63;G;63.13;E;\N;1910;176.00;75;PARIS;58 rue Saint Dominique;\N;\N;\N;\N;\N;75007;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.3091;48.859907;58 Rue Saint-Dominique 75007 Paris;M : Magasins de vente, centres commerciaux;H1
1478V8000125U;3CL - DPE;02/06/2014;430.56;F;100.75;G;Commerce;1978;0.00;78;LE VÉSINET;Carnot;129;\N;\N;\N;\N;78110;NC;1;AFAQ;;2.113424;48.897902;129 Boulevard Carnot 78110 Le Vésinet;N : Restaurants et débits de boisson;H1
1475V8000475@;FACTURE;02/06/2014;1147.25;G;37.35;D;\N;1947;55.00;75;PARIS;15 rue Boissy d'Anglas;\N;\N;\N;\N;\N;75008;;1;ICERT;n/c;2.321432;48.868376;15 Rue Boissy d'Anglas 75008 Paris;;H1
1475V7000223P;FACTURE;02/06/2014;1147.25;G;37.35;D;\N;1947;55.00;75;PARIS;15 rue Boissy d'Anglas;\N;\N;\N;\N;\N;75008;;1;ICERT;n/c;2.321432;48.868376;15 Rue Boissy d'Anglas 75008 Paris;;H1
1475V8000476A;FACTURE;02/06/2014;1147.25;G;37.35;D;\N;1947;55.00;75;PARIS;15 rue Boissy d'Anglas;\N;\N;\N;\N;\N;75008;;1;ICERT;n/c;2.321432;48.868376;15 Rue Boissy d'Anglas 75008 Paris;;H1
1475V8000477B;FACTURE;02/06/2014;1220.44;G;53.61;E;\N;1947;36.30;75;PARIS;68 rue Saint-André des Arts;\N;\N;\N;\N;\N;75006;145 m²;1;SGS ICS;29 avenue Aristide Briand - 94110 ARCUEIL;2.338841;48.85364;68 Rue Saint-André des Arts 75006 Paris;M : Magasins de vente, centres commerciaux;H1
1475V8000478C;Méthode Facture;28/05/2014;4840;G;183;G;Autres (théâtres, salles de sport, restaurati;1947;113.30;75;PARIS;123 Rue MONGE;;;Local commercial en RdC, Sous-sol, 1er étage;;;75005;Non communiqué;1;i.Cert;Parc Edonia - Bâtiment G Rue de la Terre Victoria 35760 SAINT GREGOIRE (détail sur www.cofrac.fr programme n°4-4-11);2.35089;48.838703;123 Rue Monge 75005 Paris;;H1
1493V4000184S;FACTURE - DPE;02/06/2014;691.32;F;22.51;C;;1974;30.08;93;LIVRY-GARGAN;Eugène Massé;45 bis;;;;;93190;;1;BUREAU VERITAS CERTIFICATION;60, Avenue du Général de Gaulle 92046 PARIS LA DEFENSE;2.545141;48.926304;45bis Rue Eugène Massé 93190 Livry-Gargan;;H1
1475P5000001B;th-CE;13/05/2014;1470.69;G;47.88;E;Magasin de vente;0;30.00;75;PARIS;11 rue Ambroise PARE;\N;;;;;75010;;1;3/5 avenue Garlande;DEKRA - 92220 BAGNEUX;2.352049;48.881904;11 Rue Ambroise Paré 75010 Paris;M : Magasins de vente, centres commerciaux;H1
1475P5000002C;th-CE;13/05/2014;1470.69;G;47.88;E;Magasin de vente;0;30.00;75;PARIS;11 rue Ambroise PARE;\N;;;;;75010;;1;3/5 avenue Garlande;DEKRA - 92220 BAGNEUX;2.352049;48.881904;11 Rue Ambroise Paré 75010 Paris;M : Magasins de vente, centres commerciaux;H1
1475V8000480V;Méthode Facture;10/04/2014;471;F;15;C;Autres (théâtres, salles de sport, restaurati;1947;25.85;75;PARIS 01;12/14 rue de Castiglione;;;Etage RDC;;;75001;;1;Bureau VERITAS Certification;Immeuble Le Guillaumet - 60 Avenue du Général de Gaulle - 92800 PUTEAUX (détail sur www.cofrac.fr programme n°4-4-11);2.328541;48.866306;14 Rue de Castiglione 75001 Paris;;H1
1492XX000031B;3CL - DPE;03/06/2014;442.35;F;14.4;C;Commerce;1947;0.00;92;ISSY-LES-MOULINEAUX;de la République;28;;;RDC;;92130;16;1;ABCIDIA CERTIFICATION;4, route de la Noue 91190 GIF-SUR-YVETTE;2.272907;48.825043;28 Avenue de la République 92130 Issy-les-Moulineaux;;H1
1475V8000482X;FACTURE;04/06/2014;1930.94;G;62.86;E;\N;1947;24.20;75;PARIS;116, rue de Bercy Sandwicherie 1;\N;\N;\N;\N;\N;75012;;1;I'CERT;Parc Edonia - Bât. G - rue de la Terre Victoria - 35760 SAINT GREGOIRE;2.380067;48.839688;116 Rue de Bercy 75012 Paris;M : Magasins de vente, centres commerciaux;H1
1475V8000483Y;FACTURE;04/06/2014;1434.06;G;46.69;E;\N;1947;44.00;75;PARIS;15 rue Boissy d'Anglas;\N;\N;\N;\N;\N;75008;;1;ICERT;n/c;2.321432;48.868376;15 Rue Boissy d'Anglas 75008 Paris;;H1
1475V8000488D;FACTURE;04/06/2014;686.04;G;22.33;C;\N;1947;30.80;75;PARIS;116, rue de Bercy Crêperie;\N;\N;\N;\N;\N;75012;;1;I'CERT;Parc Edonia - Bât. G - rue de la Terre Victoria - 35760 SAINT GREGOIRE;2.380067;48.839688;116 Rue de Bercy 75012 Paris;M : Magasins de vente, centres commerciaux;H1
1491V8000109R;FACTURE;04/06/2014;391.52;F;12.74;C;\N;2009;3561.80;91;SAINTE-GENEVIÈVE-DES-BOIS;19 avenue de la Croix Blanche;\N;\N;\N;\N;\N;91700;;1;SGS;29 avenue Aristide Briant 94211 ARCUEIL Cedex;2.351314;48.622515;La Remise de la Crx Blanch 91700 Fleury-Mérogis;M : Magasins de vente, centres commerciaux;H1
1491V8000110J;FACTURE;04/06/2014;391.52;F;12.74;C;\N;2009;3561.80;91;SAINTE-GENEVIÈVE-DES-BOIS;19 avenue de la Croix Blanche;\N;\N;\N;\N;\N;91700;;1;SGS;29 avenue Aristide Briant 94211 ARCUEIL Cedex;2.351314;48.622515;La Remise de la Crx Blanch 91700 Fleury-Mérogis;M : Magasins de vente, centres commerciaux;H1
1478V7000088B;Méthode Facture;04/06/2014;649;G;21;C;Autres (théâtres, salles de sport, restaurati;1947;48.44;78;BAILLY;Centre Harmonie Ouest Rue de Séquoia;;;;;;78870;Non communiqué;1;AFNOR Certification;11 avenue Francis de Pressensé  93571 SAINT DENIS LA PLAINE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1475V8000494A;Méthode Facture;05/06/2014;513;G;16;C;Autres (théâtres, salles de sport, restaurati;1947;50.60;75;PARIS;83 RUE LAFAYETTE;;;;;;75009;3 32;1;C0254 DELIVREE LE 19/10/2012 QUALIXPERT 17 RUE BOREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.337054;48.887338;83 Rue Lepic 75018 Paris;;H1
1478V8000126V;3CL - DPE;05/06/2014;509;F;16.57;C;;1900;0.00;78;BOUGIVAL;du Général Leclerc;33;;;;;78380;9;1;GINGER CATED;ZAC La Clef Saint Pierre 12 avenue Gay Lussac 78990 ELANCOURT;2.13908;48.865366;33 Rue du Général Leclerc 78380 Bougival;;H1
1475V8000495B;Méthode Facture;05/06/2014;514;G;16;C;Autres (théâtres, salles de sport, restaurati;1947;99.00;75;PARIS;90 BOULEVARD DU MONTPARNASSE;;;;;;75014;1 2 36 37 38;1;C0254 DELIVREE LE 19/10/2012 QUALIXPERT 17 RUE BOREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.326689;48.842758;90 Boulevard du Montparnasse 75014 Paris;;H1
1491V8000112L;Méthode Facture;05/06/2014;749;G;175;G;Autres (théâtres, salles de sport, restaurati;1947;88.00;91;VILLEMOISSON SUR ORGE;70 bis route de Corbeil;;;;;;91360;;1;BUREAU VERITAS;Immeuble Le Guillaumet - 60 Avenue du Général de Gaulle - 92800 PUTEAUX (détail sur www.cofrac.fr programme n°4-4-11);2.331707;48.670689;Rue de Corbeil 91360 Épinay-sur-Orge;;H1
1478V8000127W;Méthode Facture;05/06/2014;480;F;15;C;Autres (théâtres, salles de sport, restaurati;1947;43.95;78;VERSAILLES;30 RUE ROYALE;;;Etage RDC;;;78000;1,2;1;BUREAU VERITAS Certification;Immeuble Le Guillaumet - 60 Avenue du Général de Gaulle - 92800 PUTEAUX (détail sur www.cofrac.fr programme n°4-4-11);2.126329;48.797195;30 Rue Royale 78000 Versailles;;H1
1478V8000128X;Méthode Facture;05/06/2014;385;F;12;C;Autres (théâtres, salles de sport, restaurati;1947;106.70;78;VERSAILLES;7 RUE DE LA PAROISSE;;;;;;78000;1;1;C0254 DELIVREE LE 19/10/2012 QUALIXPERT 17 RUE BOREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.125647;48.808399;7 Rue de la Paroisse 78000 Versailles;;H1
1494V7000051P;3CL - DPE;04/06/2014;488.51;F;15.91;C;Autres;1988;0.00;94;LE PLESSIS-TRÉVISE;Clement Ader;24;;;;;94420;;1;ICERT;Parc Edonia Bâtiment G Rue de la Terre Victoria  35760 SAINT-GRÉGOIRE;2.572998;48.801528;24 avenue clément ader 94420 Le Plessis-Trévise;;H1
1493V4000189X;3CL;13/05/2014;603.64;F;35.31;D;Bureaux, administration, enseignement;2000;20460.00;93;SAINT-DENIS;84, rue  Charles Michels;84, rue  Charles Michels;\N;\N;\N;\N;93200;\N;1;Organisme certificateur;-;;;;;H1
1475V8000496C;Facture;27/05/2014;506973;G;16506;G;autres bâtiments;1900;0.00;75;PARIS;45, rue de Laugier;;;;Rez-de-chaussée;;75017;9;1;Bureau Véritas Certification;66 rue de Villiers 92300 LEVALLOIS-PERRET;2.294365;48.882229;45 Rue Laugier 75017 Paris;N : Restaurants et débits de boisson;H1
1475P2000006D;FACTURE - DPE;30/05/2014;576.56;F;18.77;C;;1948;\N;75;PARIS;61 BOULEVARD SAINT MARCEL;;;;;;75005;;1;CATED;12 AVENUE GAY LUSSAC  78990  ELANCOURT;2.354688;48.837483;61 Boulevard Saint-Marcel 75013 Paris;;H1
1493V3000027N;FACTURE - DPE;05/06/2014;581.02;F;135.96;F;Restaurant;1974;204.00;93;LIVRY-GARGAN;57 AVENUE DU MARECHAL LECLERC;;;;;;93190;;1;DEKRA;5 AVENUE GARLANDE  92220  BAGNEUX;2.538564;48.919534;57 Avenue du Maréchal Leclerc 93190 Livry-Gargan;;H1
1491V8000113M;FACTURE - DPE;03/06/2014;620.37;G;20.2;C;RESTAURANT;1948;\N;91;SAVIGNY-SUR-ORGE;24 BOULEVARD ARISTIDE BRIAND ET RUE DU COMMANDANT GUILBAUD;;;;;;91600;;1;GINGER CATED;ZAC la clef saint Pierre - 12 avenue Gay Lussac   78990  ELANCOURT;2.345803;48.682652;24 Rue du Commandant Guilbaud 91600 Savigny-sur-Orge;;H1
1478V3000082R;FACTURE - DPE;29/05/2014;720.05;F;23.44;C;ENTREPOT;1974;110.00;78;ELANCOURT;1 CHEMIN DE LA VALLEE;;;;;;78990;;1;GINGER CATED;12 avenue GAY LUSSAC  78990  ELANCOURT;1.949765;48.788192;1 Chemin de la Vallée 78990 Élancourt;;H1
1493V3000030H;FACTURE - DPE;27/05/2014;1151.33;G;37.49;D;;1948;\N;93;SAINT-OUEN;90 RUE DES ROSIERS;;;;;;93400;;1;GInger Cated;12 Ave Gay Lussac, ZAC LA Clef St Pierre  78990  Elancourt;2.338636;48.904265;90 Rue des Rosiers 93400 Saint-Ouen-sur-Seine;;H1
1492V8000152Q;3CL - DPE;06/06/2014;831.49;G;27.07;D;Commerce;1970;0.00;92;NANTERRE;des Provinces Françaises;35;;;;;92000;;1;GINGER CATED;ZAC La Clef Saint Pierre 12 avenue Gay Lussac 78990 ELANCOURT;2.215992;48.900987;boulevard des Provinces Françaises 92000 Nanterre;;H1
1478V8000129Y;3CL - DPE;06/06/2014;676.9;G;22.04;C;Commerce;1940;0.00;78;MARLY-LE-ROI;Henri Bouilhet;15;\N;\N;Rez de chaussée;\N;78160;NC;1;Bureau Véritas Certification;;2.096811;48.870772;15 Rue Henri Bouilhet 78160 Marly-le-Roi;W : Administrations, banques, bureaux;H1
1494V8000100L;FACTURE;06/06/2014;471.55;F;15.35;C;\N;1974;363.00;94;ARCUEIL;114 rue Camille Desmoulins;\N;\N;\N;\N;\N;94110;;1;I.Cert;parc EDONIA - bâtiment G - rue de la terre Victoria - 35 760 Saint Grégoire;2.344127;48.798807;114 Rue Camille Desmoulins 94110 Arcueil;GHA : Habitation;H1
1491V8000115O;Méthode Facture;06/06/2014;395;F;12;C;Autres (théâtres, salles de sport, restaurati;1947;48.40;91;ARPAJON;16 PLACE DU MARCHE;;;;;;91290;;1;AFNOR CERTIFICATION;11 avenue Francis de Pressensé  93571 SAINT DENIS LA PLAINE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.250504;48.588545;16 Place du Marche 91290 Arpajon;;H1
1475V8000499F;FACTURE;06/06/2014;1353.14;G;44.05;D;\N;1910;28.60;75;PARIS;4 place Etienne Pernet;\N;\N;\N;\N;\N;75015;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.292554;48.843578;4 Place Etienne Pernet 75015 Paris;M : Magasins de vente, centres commerciaux;H1
1478V8000130Q;Méthode Facture;06/06/2014;941;G;30;D;Autres (théâtres, salles de sport, restaurati;1947;66.00;78;SARTROUVILLE;140, avenue de la République;;;;;;78500;Non communiqué;1;SOCOTEC CERTIFICATION;3 avenue du Centre Les Quadrants 78280 GUYANCOURT (détail sur www.cofrac.fr programme n°4-4-11);2.150982;48.933714;140 Avenue de la République 78500 Sartrouville;;H1
1491V8000117Q;Méthode Facture;09/06/2014;382;F;33;D;Autres (théâtres, salles de sport, restaurati;1947;169.07;91;YERRES;63/65 rue Charles de Gaulle;;;;;;91330;;1;GINGER CATED;12 avenue Gay Lussac ZAC LA CLEF ST PIERRE 78990 ELANCOURT (détail sur www.cofrac.fr programme n°4-4-11);2.491119;48.715907;65 Rue Charles de Gaulle 91330 Yerres;;H1
